movie_id,country
1184918,United States of America
1035048,United States of America
1064486,Australia
1156593,Spain
1156593,United States of America
823219,Belgium
823219,France
823219,Latvia
1138194,United States of America
1357633,Japan
1075789,United States of America
1043905,Bulgaria
1043905,United States of America
1235623,China
728949,United States of America
533535,United States of America
1278099,Mexico
974453,United States of America
1064213,United States of America
1005331,United States of America
957119,Canada
1010581,Spain
519182,United States of America
1388694,Germany
1252309,Spain
945961,United States of America
1412113,South Korea
1100782,United States of America
1147416,France
1118031,Spain
1397347,United States of America
1022789,United States of America
411,United Kingdom
411,United States of America
1029235,Estonia
1029235,United States of America
675353,Japan
675353,United States of America
1261501,France
936621,South Korea
974950,Belgium
974950,France
974950,United States of America
974950,Mexico
1276945,Belgium
1276210,Spain
1101448,United States of America
929204,United Kingdom
1034541,United States of America
157336,United Kingdom
157336,United States of America
1408248,South Korea
698687,United States of America
259872,Netherlands
507241,United States of America
507241,Spain
1241752,Philippines
1179051,Brazil
710295,United States of America
1182387,United States of America
1051896,Ireland
1051896,United States of America
978796,United States of America
573435,United States of America
1000075,Belgium
1000075,France
1013850,Poland
1013850,United States of America
1208491,Canada
1208491,France
974576,United Kingdom
974576,United States of America
454626,Japan
454626,United States of America
926670,United States of America
1100856,Russia
823464,United States of America
1323784,Spain
1323784,United States of America
385687,United States of America
1196470,France
1176128,United States of America
1088514,Spain
604685,Canada
604685,United States of America
1167271,France
1167271,Taiwan
1084736,France
7451,United States of America
7451,Czech Republic
1214667,United Kingdom
395817,Canada
395817,United States of America
1410082,United States of America
1410082,Canada
1397854,Italy
1299652,United States of America
1097549,Netherlands
1097549,United States of America
1011985,United States of America
1164355,Indonesia
829557,Poland
1202565,Argentina
1100099,United Kingdom
1267217,Russia
1108427,United States of America
791042,Canada
549509,United Kingdom
549509,United States of America
426889,Canada
957452,France
957452,Germany
957452,United Kingdom
957452,United States of America
1171640,Belgium
1171640,France
1357459,Philippines
637649,United Kingdom
637649,United States of America
324568,Japan
11845,France
11845,Germany
11845,United Kingdom
693134,United States of America
592983,Spain
592983,United States of America
748783,Hong Kong
748783,United Kingdom
748783,United States of America
299536,United States of America
840705,United States of America
653346,United States of America
671,United Kingdom
671,United States of America
51482,Japan
995803,United States of America
1059128,Italy
1059128,United States of America
922806,Japan
1084863,Belgium
1084863,France
98,United Kingdom
98,United States of America
762441,United States of America
85,United States of America
153104,Canada
1371727,United States of America
420818,United States of America
429,United States of America
429,Italy
429,Spain
429,Germany
1216191,Ireland
1216191,United States of America
940551,United States of America
866398,United Kingdom
866398,United States of America
592695,France
592695,Netherlands
592695,Sweden
942890,United States of America
1401586,United States of America
1401586,Japan
1016848,United Kingdom
1016848,United States of America
726139,South Korea
639720,United States of America
786892,Australia
786892,United States of America
1126166,United States of America
1147710,South Korea
603692,Germany
603692,United States of America
1125510,Spain
1354627,United States of America
1287717,Argentina
1287717,Paraguay
929590,Finland
929590,United Kingdom
929590,United States of America
1064028,United States of America
634649,United States of America
1165466,Canada
1165466,France
1001028,Belgium
1001028,France
1296753,Australia
68555,Japan
889737,United States of America
278,United States of America
120,New Zealand
120,United States of America
597,United States of America
1144962,United States of America
1111873,United States of America
1116490,United States of America
1106739,United States of America
216015,United States of America
1079091,United States of America
198663,United States of America
198663,United Kingdom
1181863,United States of America
976734,United Kingdom
976734,United States of America
667538,United States of America
569094,United States of America
1063877,United States of America
814889,United States of America
814889,Canada
814889,France
449443,United States of America
68828,Japan
502356,Japan
502356,United States of America
122,New Zealand
122,United States of America
1331375,Colombia
1331375,United States of America
1094274,United States of America
938614,Australia
938614,United Arab Emirates
938614,United States of America
1129598,United States of America
1235913,Spain
1235913,United States of America
1029281,United States of America
1208808,Mexico
672,United Kingdom
672,United States of America
672,Germany
496243,South Korea
1084199,United States of America
645757,United Kingdom
1114513,United States of America
917496,United States of America
82023,Germany
1014505,Japan
1226578,Canada
1226578,United States of America
335983,China
335983,United States of America
76600,United States of America
1175147,Brazil
1262471,Indonesia
238,United States of America
361743,United States of America
155,United Kingdom
155,United States of America
24428,United States of America
1094974,United States of America
808,United States of America
50270,Italy
396535,South Korea
718821,United States of America
365177,Luxembourg
365177,United States of America
975511,France
975511,Greece
975511,Italy
975511,United Kingdom
975511,United States of America
872585,United Kingdom
872585,United States of America
1061699,United States of America
1154304,Spain
8587,United States of America
315162,United States of America
1159311,Japan
121,New Zealand
121,United States of America
822119,United States of America
516729,Japan
516729,United Kingdom
516729,France
516729,United States of America
588648,China
588648,Spain
1404863,United States of America
616446,United States of America
662402,Cote D'Ivoire
662402,France
662402,Luxembourg
662402,Mauritania
662402,Taiwan
1023915,United Kingdom
1023915,United States of America
1124641,United Kingdom
1124641,United States of America
845659,Germany
845659,Switzerland
845659,United States of America
969492,United States of America
969492,Australia
969492,Czech Republic
2062,United States of America
414906,United States of America
1079485,United Kingdom
1154223,France
1221404,Japan
674,United Kingdom
674,United States of America
438631,United States of America
19995,United States of America
19995,United Kingdom
575264,United States of America
138843,United States of America
507086,United States of America
370663,Canada
862,United States of America
843527,United States of America
580489,United States of America
926393,Italy
926393,United States of America
1389038,United States of America
1389038,Canada
22,United States of America
1087822,Germany
1087822,United States of America
1215162,Italy
1215162,United States of America
829560,Poland
1328814,United States of America
974262,United States of America
972614,United States of America
177572,United States of America
818647,Spain
1139566,Spain
585,United States of America
1288998,Argentina
1288998,New Zealand
1047373,United States of America
1047373,Malta
437342,United States of America
1151949,Indonesia
1151949,United States of America
122917,New Zealand
122917,United States of America
673,United Kingdom
673,United States of America
14836,United States of America
412656,Canada
412656,Hong Kong
412656,Luxembourg
412656,United States of America
48650,France
48650,Spain
1066262,Australia
1066262,New Zealand
1066262,United Kingdom
537915,United States of America
1096197,United Kingdom
27205,United Kingdom
27205,United States of America
923667,China
923667,Hong Kong
746036,United States of America
746036,Australia
1329336,United States of America
106646,United States of America
707610,South Korea
1072790,United States of America
12444,United Kingdom
12444,United States of America
1147400,Canada
1147400,France
1147400,South Korea
1147400,United Kingdom
346698,United Kingdom
346698,United States of America
1252470,India
603,United States of America
354912,United States of America
1306764,Philippines
1412569,Philippines
755679,United States of America
299534,United States of America
807,United States of America
156022,United States of America
566525,United States of America
787699,United Kingdom
787699,United States of America
447365,United States of America
1232449,Belgium
1232449,Netherlands
1404380,India
809,United States of America
615656,China
615656,United States of America
335984,Canada
335984,United Kingdom
335984,United States of America
947891,United States of America
661539,United States of America
1142518,France
12445,United Kingdom
12445,United States of America
557,United States of America
38757,United States of America
940721,Japan
850439,Ireland
850439,United Kingdom
850439,United States of America
850439,Iceland
850439,Belgium
1055110,Japan
12,United States of America
675,United Kingdom
675,United States of America
680,United States of America
568124,United States of America
324786,Australia
324786,United Kingdom
324786,United States of America
228150,United States of America
1326059,Colombia
197158,Brazil
11036,United States of America
587727,South Korea
550,Germany
550,United States of America
150540,United States of America
1087421,Spain
99861,United States of America
109445,United States of America
962319,Belgium
962319,France
962319,Luxembourg
976573,United States of America
11324,United States of America
944401,France
944401,United States of America
466282,United States of America
1255208,United States of America
76341,Australia
76341,United States of America
1041613,United States of America
1104844,Japan
497,United States of America
546554,United States of America
799583,United Kingdom
799583,United States of America
767,United Kingdom
767,United States of America
937287,Italy
937287,United States of America
715287,South Korea
72190,United Kingdom
72190,United States of America
559,United States of America
949484,United States of America
18785,United States of America
877817,United States of America
8681,France
8681,United States of America
592831,United States of America
1726,United States of America
928480,United States of America
324857,United States of America
315635,United States of America
1291559,Japan
