adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,1184918,en,877.206,324816010,102,Released,The Wild Robot,8.36,4117,Animation,English,DreamWorks Animation,US,2024
False,1035048,en,850.024,3300000,91,Released,Elevation,6.3,376,Action,English,Lyrical Media,US,2024
False,1064486,en,844.764,1189972,94,Released,Memoir of a Snail,7.676,108,Animation,English,Arenamedia,AU,2024
False,1156593,es,819.363,0,118,Released,Your Fault,7.171,942,Romance,Spanish,Pokeepsie Films,ES,2024
False,823219,lv,817.351,11019823,85,Released,Flow,8.4,916,Animation,No Language,Dream Well Studio,LV,2024
False,1138194,en,762.939,51913394,111,Released,Heretic,7.163,972,Horror,Danish,A24,US,2024
False,1357633,ja,745.012,4150341,116,Released,Solo Leveling -ReAwakening-,7.0,86,Action,Japanese,Aniplex,JP,2024
False,1075789,en,681.024,0,96,Released,The Ballad of Davy Crockett,4.0,8,Action,English,Tranquillibrium Entertainment,US,2024
False,1043905,en,664.498,0,104,Released,Dirty Angels,6.307,166,Action,English,Millennium Media,US,2024
False,1235623,zh,652.422,0,90,Released,Eye for an Eye 2,7.063,16,Action,Mandarin,iQIYI,CN,2024
False,728949,en,633.433,170737,99,Released,Nightbitch,6.1,127,Comedy,English,Annapurna Pictures,US,2024
False,533535,en,626.628,1338073645,128,Released,Deadpool & Wolverine,7.633,6516,Action,English,Marvel Studios,US,2024
False,1278099,es,617.366,0,95,Released,El Candidato Honesto,7.0,78,Comedy,Spanish,Videocine,MX,2024
False,974453,en,615.396,3854594,112,Released,Absolution,5.8,283,Action,English,Electromagnetic Productions,US,2024
False,1064213,en,610.937,33516549,139,Released,Anora,7.0,844,Romance,Russian,Cre Film,US,2024
False,1005331,en,607.675,0,120,Released,Carry-On,6.926,1778,Thriller,English,Dylan Clark Productions,US,2024
False,957119,en,593.043,0,99,Released,Sidelined: The QB and Me,0.0,0,Comedy,English,Great Pacific Media,US,2025
False,1010581,es,549.577,0,117,Released,My Fault,7.878,3445,Romance,Spanish,Pokeepsie Films,ES,2023
False,519182,en,545.622,969280910,94,Released,Despicable Me 4,7.066,2469,Animation,English,Universal Pictures,US,2024
False,1388694,de,535.602,0,94,Released,The Calendar Killer,6.3,111,Crime,German,Ziegler Film,DE,2025
False,945961,en,523.112,350865342,119,Released,Alien: Romulus,7.2,3145,Horror,English,20th Century Studios,US,2024
False,1100782,en,513.61,138083280,127,Released,Smile 2,6.6,1224,Horror,English,Paramount Pictures,US,2024
False,1147416,fr,500.903,0,50,Released,"Miraculous World, London: At the Edge of Time",7.8,134,Animation,French,Zagtoon,FR,2024
False,1118031,es,498.287,500000,119,Released,Apocalypse Z: The Beginning of the End,6.846,875,Drama,Arabic,Nostromo Pictures,ES,2024
False,1397347,en,483.58,0,82,Released,Saturday Night's Main Event XXXVII,6.7,11,Action,English,World Wrestling Entertainment (WWE),US,2024
False,1022789,en,479.502,1698778437,97,Released,Inside Out 2,7.569,5420,Animation,English,Walt Disney Pictures,US,2024
False,411,en,462.013,745013115,143,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.135,10735,Adventure,English,Walt Disney Pictures,GB,2005
False,1029235,en,451.038,631272,86,Released,Azrael,6.0,189,Action,English,C2 Motion Picture Group,US,2024
False,675353,en,446.419,405421518,123,Released,Sonic the Hedgehog 2,7.489,5243,Action,English,Original Film,US,2022
False,1261501,fr,442.41,0,97,Released,Ad Vitam,6.4,229,Thriller,English,Les Films du Cap,FR,2025
False,974950,fr,421.741,9784656,132,Released,Emilia Pérez,7.546,976,Drama,Spanish,Why Not Productions,FR,2024
False,1276945,nl,411.403,0,94,Released,Ferry 2,5.8,94,Crime,Dutch,De Mensen,BE,2024
False,1276210,es,409.738,0,89,Released,Last Stop: Rocafort St.,5.371,31,Horror,Spanish,Showrunner Films,ES,2024
False,1101448,en,407.381,0,123,Released,Unstoppable,3.9,96,Drama,English,Artists Equity,US,2024
