movie_id,genre
1184918,Animation
1184918,Action
1184918,Science Fiction
1184918,Family
1035048,Action
1035048,Science Fiction
1035048,Thriller
1064486,Animation
1064486,Drama
1064486,Comedy
1156593,Romance
1156593,Drama
823219,Animation
823219,Fantasy
823219,Adventure
1138194,Horror
1138194,Thriller
1357633,Action
1357633,Adventure
1357633,Fantasy
1357633,Animation
1075789,Action
1043905,Action
1043905,Drama
1043905,Thriller
1043905,War
1235623,Action
1235623,Drama
728949,Comedy
728949,Horror
533535,Action
533535,Comedy
533535,Science Fiction
1278099,Comedy
974453,Action
974453,Crime
974453,Thriller
1064213,Romance
1064213,Comedy
1064213,Drama
1005331,Thriller
1005331,Action
957119,Comedy
957119,Romance
1010581,Romance
1010581,Drama
519182,Animation
519182,Family
519182,Comedy
519182,Science Fiction
1388694,Crime
1388694,Thriller
1252309,Romance
1252309,Drama
945961,Horror
945961,Science Fiction
1412113,Documentary
1100782,Horror
1100782,Mystery
1147416,Animation
1147416,Adventure
1147416,Action
1147416,Fantasy
1118031,Drama
1118031,Action
1118031,Horror
1397347,Action
1022789,Animation
1022789,Adventure
1022789,Comedy
1022789,Family
411,Adventure
411,Family
411,Fantasy
1029235,Action
1029235,Horror
1029235,Thriller
675353,Action
675353,Adventure
675353,Family
675353,Comedy
1261501,Thriller
1261501,Drama
1261501,Crime
1261501,Action
936621,Comedy
936621,Drama
936621,Romance
974950,Drama
974950,Thriller
1276945,Crime
1276945,Thriller
1276945,Action
1276210,Horror
1276210,Mystery
1101448,Drama
1101448,History
929204,Animation
929204,Comedy
929204,Family
929204,Adventure
1034541,Horror
1034541,Thriller
157336,Adventure
157336,Drama
157336,Science Fiction
698687,Animation
698687,Science Fiction
698687,Adventure
698687,Family
259872,Romance
507241,Action
507241,Comedy
507241,Crime
1241752,Drama
1179051,Comedy
1179051,Action
710295,Horror
710295,Thriller
1182387,Action
1182387,Crime
1182387,Thriller
1051896,Action
1051896,Horror
1051896,Thriller
1051896,Science Fiction
978796,Horror
978796,Thriller
573435,Action
573435,Comedy
573435,Crime
573435,Thriller
573435,Adventure
1000075,Action
1000075,Adventure
1000075,Thriller
1013850,Comedy
1013850,Drama
1208491,Animation
1208491,Adventure
1208491,Fantasy
974576,Drama
454626,Action
454626,Science Fiction
454626,Comedy
454626,Family
926670,Action
926670,Comedy
926670,Family
926670,Science Fiction
1100856,Horror
1100856,Thriller
823464,Action
823464,Adventure
823464,Science Fiction
1323784,Drama
1323784,Thriller
1323784,Romance
385687,Action
385687,Crime
385687,Thriller
1196470,Science Fiction
1196470,Thriller
1196470,Adventure
1196470,Action
1176128,Horror
1088514,Drama
604685,Action
604685,Crime
604685,Thriller
1167271,Action
1167271,Adventure
1167271,Thriller
1084736,Action
1084736,Adventure
1084736,Drama
7451,Action
7451,Adventure
7451,Thriller
7451,Crime
1214667,Documentary
395817,Crime
395817,Thriller
395817,Western
1410082,Action
1410082,Thriller
1397854,Comedy
1397854,Romance
1299652,Animation
1299652,Mystery
1299652,Science Fiction
1299652,Action
1097549,Drama
1011985,Animation
1011985,Family
1011985,Fantasy
1011985,Action
1164355,Horror
1164355,Thriller
829557,Romance
829557,Drama
1202565,Thriller
1202565,Horror
1100099,Romance
1100099,Drama
1267217,Romance
1267217,Drama
1108427,Adventure
1108427,Comedy
1108427,Family
1108427,Fantasy
791042,Action
791042,Science Fiction
791042,Thriller
549509,Drama
1155095,Horror
1155095,Mystery
1155095,Drama
426889,Animation
426889,Documentary
957452,Action
957452,Fantasy
957452,Horror
1171640,Action
1171640,Crime
1171640,Drama
1357459,Drama
1357459,Romance
1302151,Comedy
637649,Crime
637649,Action
637649,Thriller
324568,Animation
324568,Comedy
324568,Action
11845,Romance
11845,Drama
11845,Fantasy
693134,Science Fiction
693134,Adventure
592983,Animation
592983,Fantasy
592983,Family
592983,Adventure
592983,Comedy
748783,Animation
748783,Comedy
748783,Family
748783,Adventure
748783,Action
299536,Adventure
299536,Action
299536,Science Fiction
840705,Mystery
840705,Thriller
653346,Science Fiction
653346,Adventure
653346,Action
671,Adventure
671,Fantasy
51482,TV Movie
51482,Crime
51482,Drama
51482,Fantasy
51482,Thriller
51482,Animation
995803,Action
995803,Science Fiction
995803,Thriller
995803,Comedy
995803,Horror
1059128,Drama
1059128,Romance
922806,Animation
922806,Comedy
1084863,Thriller
1084863,Horror
1084863,Crime
1084863,Mystery
98,Action
98,Drama
98,Adventure
762441,Horror
762441,Science Fiction
762441,Thriller
85,Adventure
85,Action
153104,Mystery
153104,Drama
153104,Romance
153104,Thriller
1371727,Animation
1371727,Family
1371727,Comedy
1371727,Music
420818,Adventure
420818,Drama
420818,Family
420818,Animation
429,Western
1216191,Horror
1216191,Mystery
940551,Animation
940551,Adventure
940551,Comedy
940551,Family
866398,Crime
866398,Action
866398,Thriller
592695,Drama
942890,Horror
942890,Thriller
942890,Comedy
942890,Mystery
1401586,Science Fiction
1401586,Adventure
1401586,Comedy
1401586,Family
1016848,Horror
726139,Thriller
726139,Action
726139,Horror
726139,Science Fiction
639720,Comedy
639720,Fantasy
639720,Family
786892,Action
786892,Science Fiction
786892,Adventure
1126166,Thriller
1126166,Action
1126166,Crime
1126166,Drama
1147710,Action
1147710,Thriller
1147710,Crime
603692,Action
603692,Thriller
603692,Crime
1125510,Science Fiction
1125510,Horror
1125510,Thriller
1354627,TV Movie
1354627,Family
1354627,Comedy
1354627,Horror
1354627,Animation
1287717,Horror
929590,War
929590,Action
929590,Drama
1064028,Science Fiction
1064028,Thriller
634649,Action
634649,Adventure
634649,Science Fiction
1165466,Horror
1165466,Thriller
1165466,Action
1001028,Thriller
1001028,Drama
1296753,Science Fiction
1296753,Horror
1296753,Thriller
68555,TV Movie
68555,Thriller
68555,Animation
68555,Crime
68555,Drama
68555,Fantasy
889737,Drama
889737,Crime
889737,Thriller
278,Drama
278,Crime
120,Adventure
120,Fantasy
120,Action
597,Drama
597,Romance
1144962,Action
1144962,Science Fiction
1111873,Horror
1111873,Thriller
1116490,Action
1116490,Thriller
1106739,Crime
1106739,Drama
216015,Drama
216015,Romance
216015,Thriller
1079091,Drama
1079091,Romance
198663,Action
198663,Mystery
198663,Science Fiction
198663,Thriller
1181863,Animation
976734,Action
976734,Thriller
976734,Crime
667538,Science Fiction
667538,Adventure
667538,Action
569094,Animation
569094,Action
569094,Adventure
569094,Science Fiction
1063877,Horror
1063877,Thriller
814889,Horror
814889,Drama
449443,Action
449443,Crime
449443,Thriller
68828,Animation
68828,Science Fiction
68828,Comedy
502356,Animation
502356,Family
502356,Adventure
502356,Fantasy
502356,Comedy
122,Adventure
122,Fantasy
122,Action
1331375,Action
1331375,Thriller
1094274,Comedy
1094274,Horror
1094274,Science Fiction
938614,Horror
1129598,Action
1129598,Thriller
1129598,Horror
1235913,Comedy
1235913,Romance
1029281,Crime
1029281,Horror
1029281,Thriller
1208808,Horror
672,Adventure
672,Fantasy
496243,Comedy
496243,Thriller
496243,Drama
1340602,Horror
1084199,Horror
1084199,Science Fiction
1084199,Thriller
645757,Animation
645757,Comedy
645757,Family
645757,Fantasy
645757,Adventure
1114513,Horror
1114513,Thriller
917496,Comedy
917496,Fantasy
917496,Horror
82023,Drama
82023,Romance
1014505,Action
1014505,Adventure
1014505,Animation
1014505,Fantasy
1226578,Crime
1226578,Horror
1226578,Thriller
335983,Science Fiction
335983,Action
76600,Science Fiction
76600,Adventure
76600,Action
1175147,Comedy
1262471,Drama
238,Drama
238,Crime
361743,Action
361743,Drama
155,Drama
155,Action
155,Crime
155,Thriller
24428,Science Fiction
24428,Action
24428,Adventure
1094974,Action
1094974,Thriller
808,Animation
808,Comedy
808,Fantasy
808,Adventure
808,Family
50270,Drama
396535,Horror
396535,Thriller
396535,Action
718821,Thriller
718821,Action
365177,Action
365177,Science Fiction
365177,Comedy
975511,History
975511,Drama
975511,Adventure
872585,Drama
872585,History
1061699,Drama
1061699,War
1061699,History
1154304,Animation
1154304,Adventure
1154304,Comedy
1154304,Family
8587,Family
8587,Animation
8587,Drama
315162,Animation
315162,Adventure
315162,Fantasy
315162,Comedy
315162,Family
1159311,Animation
1159311,Action
1159311,Adventure
1159311,Science Fiction
121,Adventure
121,Fantasy
121,Action
822119,Action
822119,Science Fiction
516729,Comedy
516729,Family
516729,Adventure
588648,Animation
588648,Family
588648,Action
588648,Adventure
588648,Fantasy
1404863,Comedy
616446,Action
616446,Comedy
616446,Crime
662402,Romance
662402,Drama
1023915,Thriller
1023915,Documentary
1023915,Science Fiction
1124641,Action
1124641,Thriller
845659,Drama
845659,Romance
969492,Action
969492,War
969492,Thriller
2062,Animation
2062,Comedy
2062,Family
2062,Fantasy
414906,Crime
414906,Mystery
414906,Thriller
1079485,Horror
1079485,Thriller
1154223,Action
1154223,Thriller
1221404,Animation
1221404,Adventure
1221404,Comedy
1221404,Family
674,Adventure
674,Fantasy
438631,Science Fiction
438631,Adventure
19995,Action
19995,Adventure
19995,Fantasy
19995,Science Fiction
575264,Action
575264,Adventure
138843,Horror
138843,Thriller
507086,Adventure
507086,Action
507086,Science Fiction
370663,Drama
370663,Romance
862,Animation
862,Adventure
862,Family
862,Comedy
843527,Romance
843527,Drama
843527,Comedy
580489,Science Fiction
580489,Action
580489,Adventure
926393,Action
926393,Thriller
926393,Crime
1389038,Animation
1389038,Adventure
1389038,Comedy
1389038,Family
22,Adventure
22,Fantasy
22,Action
1087822,Fantasy
1087822,Horror
1087822,Action
1215162,Action
1215162,Crime
1215162,Thriller
829560,Romance
829560,Drama
1328814,Horror
1328814,Mystery
974262,Fantasy
974262,Adventure
974262,Family
974262,Comedy
972614,Action
972614,Crime
972614,Thriller
177572,Adventure
177572,Family
177572,Animation
177572,Action
177572,Comedy
818647,Romance
818647,Drama
818647,Comedy
1139566,Romance
1139566,Drama
1139566,Comedy
585,Animation
585,Comedy
585,Family
1288998,Horror
1288998,Thriller
1288998,Drama
1047373,Crime
1047373,Thriller
1047373,Action
437342,Horror
1151949,Action
1151949,Crime
1151949,Thriller
122917,Action
122917,Adventure
122917,Fantasy
673,Adventure
673,Fantasy
14836,Animation
14836,Family
14836,Fantasy
412656,Fantasy
412656,Science Fiction
412656,Adventure
48650,Drama
48650,Romance
1066262,Action
1066262,Drama
537915,Romance
537915,Drama
1096197,Thriller
1096197,Horror
1096197,Action
27205,Action
27205,Science Fiction
27205,Adventure
923667,Action
923667,Crime
923667,Thriller
746036,Action
746036,Comedy
746036,Romance
1329336,Animation
1329336,Comedy
106646,Crime
106646,Drama
106646,Comedy
1145028,Horror
1145028,Thriller
707610,Drama
707610,Romance
1072790,Romance
1072790,Comedy
12444,Adventure
12444,Fantasy
1147400,Animation
1147400,Adventure
1147400,Action
1147400,Fantasy
1147400,Family
346698,Comedy
346698,Adventure
1252470,Thriller
1252470,Crime
1252470,Mystery
1252470,Action
603,Action
603,Science Fiction
354912,Family
354912,Animation
354912,Music
354912,Adventure
1306764,Horror
1306764,Thriller
1412569,Drama
1412569,Romance
755679,Action
755679,Crime
755679,Thriller
299534,Adventure
299534,Science Fiction
299534,Action
807,Crime
807,Mystery
807,Thriller
156022,Thriller
156022,Action
156022,Crime
566525,Action
566525,Adventure
566525,Fantasy
787699,Comedy
787699,Family
787699,Fantasy
447365,Science Fiction
447365,Adventure
447365,Action
1232449,Drama
1232449,Romance
1404380,Drama
1404380,Romance
809,Animation
809,Family
809,Comedy
809,Fantasy
809,Adventure
809,Romance
615656,Action
615656,Science Fiction
615656,Horror
335984,Science Fiction
335984,Drama
947891,Comedy
947891,Drama
661539,Drama
661539,Music
1142518,Action
1142518,Romance
1142518,Drama
12445,Fantasy
12445,Adventure
557,Action
557,Science Fiction
38757,Animation
38757,Family
38757,Adventure
940721,Science Fiction
940721,Horror
940721,Action
850439,Drama
850439,Horror
850439,Mystery
1055110,Romance
1055110,Drama
12,Animation
12,Family
675,Adventure
675,Fantasy
680,Thriller
680,Crime
568124,Animation
568124,Comedy
568124,Family
568124,Fantasy
324786,Drama
324786,History
324786,War
228150,War
228150,Drama
228150,Action
1389147,Action
1326059,Action
1326059,Crime
1326059,Drama
197158,Drama
197158,Horror
197158,Fantasy
197158,Comedy
11036,Romance
11036,Drama
587727,Romance
550,Drama
150540,Animation
150540,Family
150540,Adventure
150540,Drama
150540,Comedy
1087421,Comedy
99861,Action
99861,Adventure
99861,Science Fiction
109445,Animation
109445,Family
109445,Adventure
109445,Fantasy
962319,Drama
976573,Animation
976573,Comedy
976573,Family
976573,Fantasy
976573,Romance
11324,Drama
11324,Thriller
11324,Mystery
944401,Action
944401,Drama
944401,Crime
466282,Comedy
466282,Romance
1255208,Horror
1255208,Thriller
76341,Action
76341,Adventure
76341,Science Fiction
1041613,Horror
1041613,Mystery
1041613,Thriller
1104844,Animation
1104844,Action
1104844,Drama
497,Fantasy
497,Drama
497,Crime
546554,Comedy
546554,Crime
546554,Mystery
799583,Action
799583,Comedy
799583,War
767,Adventure
767,Fantasy
937287,Romance
937287,Drama
715287,Drama
715287,Romance
72190,Action
72190,Horror
72190,Science Fiction
72190,Thriller
559,Action
559,Adventure
559,Science Fiction
949484,Action
949484,Thriller
18785,Comedy
1149913,Drama
1149913,Romance
877817,Comedy
877817,Action
877817,Crime
8681,Action
8681,Thriller
592831,Science Fiction
592831,Drama
1726,Action
1726,Science Fiction
1726,Adventure
928480,Adventure
928480,Fantasy
928480,Mystery
928480,Horror
324857,Animation
324857,Action
324857,Adventure
324857,Science Fiction
315635,Action
315635,Adventure
315635,Science Fiction
315635,Drama
1291559,Romance
1291559,Drama
269509,Animation
269509,Comedy
269509,Family
269509,Fantasy
1399914,Animation
1399914,Comedy
337167,Drama
337167,Romance
1000837,Drama
1000837,History
296096,Drama
296096,Romance
581528,Crime
581528,Action
581528,Thriller
851644,Romance
851644,Drama
916192,Animation
916192,Drama
916192,Romance
916192,Fantasy
882598,Horror
882598,Mystery
10192,Comedy
10192,Adventure
10192,Fantasy
10192,Animation
10192,Family
8966,Fantasy
8966,Drama
8966,Romance
424,Drama
424,History
424,War
188927,Action
188927,Adventure
188927,Science Fiction
240,Drama
240,Crime
719221,Horror
968051,Horror
260346,Thriller
260346,Action
10674,Animation
10674,Family
10674,Adventure
10198,Animation
10198,Romance
10198,Fantasy
10198,Family
1022796,Animation
1022796,Family
1022796,Fantasy
1022796,Adventure
1029575,Action
1029575,Comedy
348,Horror
348,Science Fiction
10191,Fantasy
10191,Adventure
10191,Animation
10191,Family
269149,Animation
269149,Adventure
269149,Family
269149,Comedy
826510,Family
826510,Adventure
826510,Fantasy
826510,Comedy
507089,Horror
507089,Mystery
150689,Romance
150689,Fantasy
150689,Family
150689,Drama
1173558,Drama
1173558,Mystery
1173558,Romance
739405,Action
739405,Thriller
739405,Comedy
739405,Adventure
1114894,Science Fiction
1114894,Adventure
1114894,Action
1114894,Drama
1180634,Drama
210577,Mystery
210577,Thriller
210577,Drama
384018,Action
384018,Adventure
384018,Comedy
170,Horror
170,Thriller
170,Science Fiction
425,Animation
425,Comedy
425,Family
425,Adventure
1001311,Action
1001311,Horror
1294203,Romance
1294203,Drama
1139817,Action
1139817,Comedy
1139817,Crime
1122504,Horror
129,Animation
129,Family
129,Fantasy
11,Adventure
11,Action
11,Science Fiction
78383,Horror
78383,Thriller
601796,Science Fiction
601796,Action
601796,Fantasy
601796,Adventure
460229,Mystery
460229,Thriller
460229,Romance
359410,Action
359410,Thriller
293660,Action
293660,Adventure
293660,Comedy
13,Comedy
13,Drama
13,Romance
588228,Action
588228,Science Fiction
588228,Adventure
1041317,War
1145491,Action
1145491,Thriller
337404,Comedy
337404,Crime
337404,Family
337404,Adventure
1387866,Comedy
1387866,Family
588555,Animation
588555,Drama
588555,Fantasy
299054,Action
299054,Adventure
299054,Thriller
1134424,Animation
1134424,Action
1134424,Adventure
1134424,Fantasy
1134424,Science Fiction
804616,Thriller
804616,Horror
1337309,Action
1337309,Crime
1337309,Drama
1337309,Thriller
713704,Horror
713704,Thriller
168259,Action
168259,Thriller
168259,Crime
856289,Action
856289,Fantasy
856289,War
985939,Thriller
1028703,Thriller
1028703,Action
1028703,Horror
373571,Science Fiction
373571,Action
567811,Animation
567811,Comedy
567811,Family
567811,Fantasy
863,Animation
863,Comedy
863,Family
1186947,Action
1186947,Crime
1186947,Drama
271110,Adventure
271110,Action
271110,Science Fiction
298618,Adventure
298618,Action
298618,Science Fiction
615173,Action
615173,Mystery
615173,Thriller
615173,Science Fiction
1026436,Thriller
1026436,Comedy
1026436,Drama
1196656,Romance
420634,Horror
420634,Thriller
1140648,Science Fiction
1140648,Horror
1140648,Thriller
1182047,Drama
1182047,History
1244492,Animation
1244492,Drama
91314,Science Fiction
91314,Action
91314,Adventure
285,Adventure
285,Fantasy
285,Action
1355755,Animation
1355755,Adventure
1355755,Fantasy
1355755,Family
324552,Action
324552,Thriller
324552,Crime
58,Adventure
58,Fantasy
58,Action
493922,Horror
493922,Mystery
493922,Thriller
39254,Action
39254,Science Fiction
39254,Drama
38365,Comedy
572802,Action
572802,Adventure
572802,Fantasy
436969,Action
436969,Comedy
436969,Adventure
49051,Adventure
49051,Fantasy
49051,Action
1209290,Animation
1209290,Science Fiction
1209290,Action
447277,Adventure
447277,Family
447277,Fantasy
447277,Romance
313369,Comedy
313369,Drama
313369,Romance
313369,Music
1075676,Action
1075676,Drama
1075676,History
868759,Action
868759,Comedy
868759,Romance
1210794,Action
1210794,Comedy
1210794,Crime
653,Horror
653,Drama
438695,Animation
438695,Family
438695,Music
438695,Comedy
345940,Action
345940,Science Fiction
345940,Horror
970347,Action
970347,Thriller
970347,Crime
146233,Drama
146233,Thriller
146233,Crime
82702,Fantasy
82702,Action
82702,Adventure
82702,Animation
82702,Comedy
82702,Family
505642,Action
505642,Adventure
505642,Science Fiction
321612,Family
321612,Fantasy
321612,Romance
1239251,Animation
1239251,Comedy
1239251,Science Fiction
131631,Science Fiction
131631,Adventure
131631,Thriller
12153,Comedy
12153,Crime
11224,Family
11224,Fantasy
11224,Animation
11224,Romance
185664,Drama
185664,Horror
1865,Adventure
1865,Action
1865,Fantasy
940139,Drama
634492,Action
634492,Fantasy
1930,Action
1930,Adventure
1930,Science Fiction
109418,Comedy
10193,Animation
10193,Family
10193,Comedy
348893,Action
348893,Drama
931944,Drama
931944,Mystery
931944,History
931944,Horror
447332,Horror
447332,Drama
447332,Science Fiction
613504,Romance
613504,Drama
453395,Fantasy
453395,Action
453395,Adventure
801335,Thriller
801335,Crime
801335,TV Movie
914215,Thriller
914215,Horror
914215,Science Fiction
791373,Action
791373,Adventure
791373,Fantasy
10681,Animation
10681,Family
10681,Science Fiction
102382,Action
102382,Adventure
102382,Science Fiction
475557,Crime
475557,Thriller
475557,Drama
11688,Adventure
11688,Animation
11688,Comedy
11688,Family
11688,Fantasy
824003,Crime
824003,Action
824003,Mystery
824003,Thriller
989662,Comedy
989662,Drama
1401905,Documentary
259693,Horror
1230477,Animation
1230477,Romance
4348,Drama
4348,Romance
901362,Animation
901362,Family
901362,Music
901362,Fantasy
901362,Comedy
1315986,Action
1315986,Drama
1387198,Romance
1387198,Drama
1387198,Comedy
766507,Thriller
766507,Action
766507,Science Fiction
97697,Comedy
135397,Action
135397,Adventure
135397,Science Fiction
135397,Thriller
106,Science Fiction
106,Action
106,Adventure
106,Thriller
467244,Drama
467244,History
467244,War
575265,Action
575265,Adventure
575265,Thriller
24,Action
24,Crime
68726,Action
68726,Science Fiction
68726,Adventure
763215,Fantasy
763215,Action
763215,Adventure
429415,Action
429415,Drama
429415,Science Fiction
429415,Thriller
351286,Action
351286,Adventure
351286,Science Fiction
351286,Thriller
984324,Action
14160,Animation
14160,Comedy
14160,Family
14160,Adventure
134374,Action
134374,Crime
134374,Comedy
1038263,Drama
1038263,Music
1160018,Action
1160018,Crime
1160018,Thriller
1160018,Drama
792307,Science Fiction
792307,Romance
792307,Comedy
111,Action
111,Crime
111,Drama
