movie_id,lang
1184918,English
1035048,English
1064486,English
1064486,French
1156593,Spanish
823219,No Language
1138194,Danish
1138194,English
1357633,Japanese
1075789,English
1043905,English
1043905,Kurdish
1043905,Urdu
1235623,Mandarin
728949,English
533535,English
1278099,Spanish
974453,English
1064213,Russian
1064213,Armenian
1064213,English
1005331,English
957119,English
1010581,Spanish
519182,English
1388694,German
1252309,Spanish
945961,English
1412113,Korean
1100782,English
1147416,French
1118031,Arabic
1118031,English
1118031,French
1118031,Galician
1118031,German
1118031,Portuguese
1118031,Russian
1118031,Spanish
1397347,English
1022789,English
411,English
411,German
1029235,English
675353,English
1261501,English
1261501,French
936621,Korean
974950,Spanish
974950,French
974950,English
1276945,Dutch
1276210,Spanish
1101448,English
929204,English
1034541,English
157336,English
1408248,No Language
698687,English
259872,No Language
507241,English
1241752,Tagalog
1179051,Portuguese
710295,English
1182387,English
1051896,English
978796,English
573435,English
1000075,French
1000075,English
1013850,English
1013850,Polish
1208491,French
1208491,Dutch
974576,English
974576,Latin
974576,Spanish
974576,Italian
454626,English
926670,English
926670,Spanish
1100856,Russian
823464,English
1323784,Spanish
385687,English
385687,Spanish
1196470,English
1196470,French
1176128,English
1088514,English
604685,English
1167271,Mandarin
1167271,English
1084736,French
1084736,English
1084736,Italian
1084736,Romanian
7451,Czech
7451,English
7451,German
7451,Spanish
7451,Russian
1214667,English
395817,English
1410082,English
1397854,Italian
1299652,English
1097549,English
1011985,English
1164355,Indonesian
829557,English
829557,Spanish
829557,Italian
829557,Polish
829557,French
1202565,Spanish
1100099,English
1267217,Russian
1108427,English
791042,English
549509,English
549509,Hebrew
549509,Italian
549509,Yiddish
549509,Hungarian
1155095,English
426889,French
957452,English
1171640,French
1357459,Tagalog
1302151,Spanish
637649,English
324568,Japanese
11845,English
693134,English
592983,English
748783,English
299536,English
299536,Xhosa
840705,English
653346,English
671,English
51482,Japanese
995803,English
1059128,English
1059128,Spanish
922806,Japanese
1084863,French
98,English
762441,English
85,English
85,Spanish
85,German
85,Hebrew
85,Arabic
85,Nepali
153104,English
1371727,English
420818,English
429,Italian
1216191,English
940551,English
866398,English
592695,English
592695,Swedish
942890,English
1401586,English
1016848,English
726139,English
726139,Korean
639720,English
639720,Danish
639720,French
786892,English
1126166,English
1147710,Korean
603692,Arabic
603692,Cantonese
603692,English
603692,French
603692,German
603692,Japanese
603692,Latin
603692,Russian
603692,Spanish
1125510,Spanish
1354627,English
1287717,Guarani
1287717,Spanish
929590,English
1064028,English
634649,English
634649,Tagalog
1165466,English
1001028,French
1296753,English
68555,Japanese
889737,English
278,English
120,English
597,English
597,French
597,German
597,Swedish
597,Italian
597,Russian
1144962,English
1111873,English
1116490,English
1106739,English
216015,English
1079091,English
198663,English
1181863,English
976734,English
667538,Quechua
667538,Spanish
667538,English
569094,English
569094,Hindi
569094,Italian
569094,Spanish
1063877,English
814889,English
449443,English
68828,Japanese
502356,English
122,English
1331375,English
1094274,English
938614,English
1129598,English
1129598,Spanish
1235913,Spanish
1029281,English
1208808,Spanish
672,English
496243,English
496243,German
496243,Korean
1340602,Spanish
1084199,English
645757,English
1114513,English
917496,English
82023,German
1014505,Japanese
1226578,English
335983,Mandarin
335983,English
335983,Malay
76600,English
1175147,Portuguese
1262471,Indonesian
238,English
238,Italian
238,Latin
361743,English
155,English
155,Mandarin
24428,English
24428,Hindi
24428,Russian
1094974,English
808,English
50270,Italian
396535,Korean
718821,English
365177,English
975511,English
872585,Dutch
872585,English
1061699,English
1154304,Spanish
8587,English
315162,English
315162,Spanish
1159311,Japanese
121,English
822119,English
516729,English
588648,Spanish
588648,English
588648,Mandarin
1404863,English
616446,English
662402,Mandarin
662402,English
662402,French
662402,Portuguese
1023915,English
1124641,English
845659,English
969492,English
2062,French
