movie_id,genre,company_name,company_country,movie_country,lang,adult,belongs_to_collection,budget,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,title,video,vote_average,vote_count
11,Science Fiction,20th Century Fox,US,US,English,False,Star Wars Collection,11000000,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,106.348,5/25/1977,775398007,121,Released,Star Wars,False,8.204,20817
12,Animation,Pixar,US,US,English,False,Finding Nemo Collection,94000000,tt0266543,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",125.133,5/30/2003,940335536,100,Released,Finding Nemo,False,7.8,19388
13,Drama,Paramount Pictures,US,US,English,False,FALSE,55000000,tt0109830,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",105.101,6/23/1994,677387716,142,Released,Forrest Gump,False,8.5,27752
14,Drama,DreamWorks Pictures,US,US,English,False,FALSE,15000000,tt0169547,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",44.255,9/15/1999,356296601,122,Released,American Beauty,False,8.0,12128
15,Drama,RKO Radio Pictures,US,US,English,False,FALSE,839727,tt0033467,en,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",37.402,4/17/1941,23218000,119,Released,Citizen Kane,False,8.0,5566
18,Science Fiction,Gaumont,FR,FR,German,False,FALSE,90000000,tt0119116,fr,Le Cinquième Élément,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",74.236,5/2/1997,263920180,126,Released,The Fifth Element,False,7.555,10824
19,Science Fiction,UFA,DE,DE,No Language,False,FALSE,5300000,tt0017136,de,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",38.343,2/6/1927,1350322,148,Released,Metropolis,False,8.114,2792
22,Adventure,Jerry Bruckheimer Films,US,US,English,False,Pirates of the Caribbean Collection,140000000,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",141.172,7/9/2003,655011224,143,Released,Pirates of the Caribbean: The Curse of the Black Pearl,False,7.8,20809
24,Crime,A Band Apart,US,US,Japanese,False,Kill Bill Collection,30000000,tt0266697,en,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",93.269,10/10/2003,180906076,111,Released,Kill Bill: Vol. 1,False,8.0,17552
27,Drama,Revolution Films,GB,US,English,False,FALSE,1000000,tt0411705,en,9 Songs,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",39.814,7/16/2004,1574623,69,Released,9 Songs,False,5.6,518
