adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
False,/9mJ9dxCGpudxyBtlC0M9Y4pTyXN.jpg,The Wild Robot Collection,78000000,https://www.thewildrobotmovie.com,1184918,tt29623480,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",877.206,/9w0Vh9eizfBXrcomiaFWTIPdboo.jpg,2024-09-12,324816010,102,Released,Discover your true nature.,The Wild Robot,False,8.36,4117
False,/au3o84ub27qTZiMiEc9UYzN74V3.jpg,False,18000000,https://www.elevationmovie.com,1035048,tt23558280,en,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,850.024,/tnfc0NJ3BzhJrGJhkkEd6MHBdq5.jpg,2024-11-07,3300000,91,Released,Don't go down without a fight.,Elevation,False,6.3,376
False,/i3CAo9UMGsvlU9k3Svd63rRDeZx.jpg,False,4350000,http://adamelliot.com.au/,1064486,tt23770030,en,Memoir of a Snail,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",844.764,/lWh5OlerPR1c1cfn1ZLq0lpqFds.jpg,2024-10-17,1189972,94,Released,"Life can only be understood backwards, but we have to live it forwards.",Memoir of a Snail,False,7.676,108
False,/k24eZq5I3jyz4htPkZCRpnUmBzE.jpg,Fault Collection,0,https://www.amazon.com/dp/B0DJ1L7ZN3,1156593,tt28510079,es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,819.363,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,2024-12-26,0,118,Released,Divided by family. Driven by love.,Your Fault,False,7.171,942
False,/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg,False,3500000,https://flow.movie/,823219,tt4772188,lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",817.351,/imKSymKBK7o73sajciEmndJoVkR.jpg,2024-08-29,11019823,85,Released,,Flow,False,8.4,916
False,/ag66gJCiZ06q1GSJuQlhGLi3Udx.jpg,False,10000000,https://a24films.com/films/heretic,1138194,tt28015403,en,Heretic,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",762.939,/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg,2024-10-31,51913394,111,Released,Question everything.,Heretic,False,7.163,972
False,/kylozAI9Rf1pp7pZ8nFPK4s1s5n.jpg,False,0,https://www.sololevelingreawakening.com,1357633,tt33428606,ja,俺だけレベルアップな件 -ReAwakening-,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",745.012,/uzHMp5heVLR68kbbUEXFPsmxYsM.jpg,2024-11-26,4150341,116,Released,,Solo Leveling -ReAwakening-,False,7.0,86
False,/hSuDBuToaEAF4NhHR4haZPw3xN2.jpg,False,0,,1075789,tt10583416,en,The Ballad of Davy Crockett,"In 1815, an American Legend, whose wife has fallen deathly ill, leaving his young children to survive on their own, must fight his way back to them across the many perils found in the Savage Lands of the wild frontier.",681.024,/r3eg88OcnLcCihQdaW3IAOlui4F.jpg,2024-03-08,0,96,Released,,The Ballad of Davy Crockett,False,4.0,8
False,/dWkdmxIkH9y23s9v1PjQFhTGIwo.jpg,False,35954590,,1043905,tt23872640,en,Dirty Angels,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",664.498,/3O3qSGmjRGc10hMwFul8WDxKE5t.jpg,2024-12-11,0,104,Released,Fight Your Way Out.,Dirty Angels,False,6.307,166
False,/bx6LoGl8L3hwgOCoD2H8JgIu7uC.jpg,Eye for an Eye Collection,0,,1235623,tt30972810,zh,目中无人 2,"The blind swordsman, skilled in martial arts, named Cheng Xiazi (Xie Miao), accidentally saves Zhang Xiaoyu (Yang Enyou), who has suffered from the destruction of his family. Under the persuasion of the orphan Xiaoyu, Cheng reluctantly keeps him by his side and teaches him skills. Xiaoyu also waits for the opportunity to seek revenge.",652.422,/lxGkinl8TwFdIUffEdTOw95lKL7.jpg,2024-07-21,0,90,Released,,Eye for an Eye 2,False,7.063,16
False,/2ICMZZVcwboF8Z9V7aaJY3CVh9w.jpg,False,20000000,https://www.searchlightpictures.com/nightbitch,728949,tt12810074,en,Nightbitch,"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog.",633.433,/h49Pie8gM2jK0UHGFRjfPB3YTd.jpg,2024-12-06,170737,99,Released,Motherhood is a bitch.,Nightbitch,False,6.1,127
False,/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,Deadpool Collection,200000000,https://www.marvel.com/movies/deadpool-and-wolverine,533535,tt6263850,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",626.628,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,1338073645,128,Released,Come together.,Deadpool & Wolverine,False,7.633,6516
False,/uFMIiNYUDHzo7YGSg5UUR7VLNma.jpg,False,0,,1278099,tt24516018,es,El candidato honesto,"A former idealistic leader turned corrupt politician is cursed by his grandmother on the eve of the presidential election, forcing him to be honest. Can he win without lies and what will be the conditions?",617.366,/hmV5HPkbQuzgPo11Xm70CMQV3iZ.jpg,2024-08-08,0,95,Released,,El Candidato Honesto,False,7.0,78
